fdr,tpr,fpr,shd
0.047619047619047616,0.6060606060606061,0.0006184291898577613,42
0.13131313131313133,0.8686868686868687,0.0026798598227169654,26
0.04040404040404041,0.9595959595959596,0.0008245722531436817,8
0.05,0.9595959595959596,0.0010307153164296021,9
0.0,0.8686868686868687,0.0,13
0.050505050505050504,0.9494949494949495,0.0010307153164296021,10
0.0967741935483871,0.5656565656565656,0.0012368583797155227,49
0.08695652173913043,0.42424242424242425,0.0008245722531436817,61
0.16279069767441862,0.36363636363636365,0.001443001443001443,70
0.04081632653061224,0.9494949494949495,0.0008245722531436817,9
0.023255813953488372,0.42424242424242425,0.00020614306328592042,58
0.0707070707070707,0.9292929292929293,0.001443001443001443,14
0.061224489795918366,0.9292929292929293,0.0012368583797155227,13
0.044444444444444446,0.43434343434343436,0.00041228612657184083,58
0.050505050505050504,0.9494949494949495,0.0010307153164296021,10
0.10588235294117647,0.7676767676767676,0.0018552875695732839,32
0.05,0.3838383838383838,0.00041228612657184083,63
0.13131313131313133,0.8686868686868687,0.0026798598227169654,26
0.05154639175257732,0.9292929292929293,0.0010307153164296021,12
0.022222222222222223,0.4444444444444444,0.00020614306328592042,56
0.06060606060606061,0.9393939393939394,0.0012368583797155227,12
0.0,0.3939393939393939,0.0,60
0.05,0.5757575757575758,0.0006184291898577613,45
0.030303030303030304,0.9696969696969697,0.0006184291898577613,6
0.025,0.3939393939393939,0.00020614306328592042,61
0.030303030303030304,0.9696969696969697,0.0006184291898577613,6
0.0707070707070707,0.9292929292929293,0.001443001443001443,14
0.03125,0.9393939393939394,0.0006184291898577613,9
0.06741573033707865,0.8383838383838383,0.0012368583797155227,22
0.017241379310344827,0.5757575757575758,0.00020614306328592042,43
0.09183673469387756,0.898989898989899,0.0018552875695732839,19
0.05263157894736842,0.36363636363636365,0.00041228612657184083,65
0.050505050505050504,0.9494949494949495,0.0010307153164296021,10
0.018518518518518517,0.5353535353535354,0.00020614306328592042,47
0.06557377049180328,0.5757575757575758,0.0008245722531436817,46
0.03125,0.9393939393939394,0.0006184291898577613,9
0.030303030303030304,0.9696969696969697,0.0006184291898577613,6
0.024691358024691357,0.797979797979798,0.00041228612657184083,22
0.061224489795918366,0.9292929292929293,0.0012368583797155227,13
0.012048192771084338,0.8282828282828283,0.00020614306328592042,18
0.06060606060606061,0.9393939393939394,0.0012368583797155227,12
0.0707070707070707,0.9292929292929293,0.001443001443001443,14
0.11764705882352941,0.6060606060606061,0.0016491445062873633,47
0.04081632653061224,0.9494949494949495,0.0008245722531436817,9
0.050505050505050504,0.9494949494949495,0.0010307153164296021,10
0.017241379310344827,0.5757575757575758,0.00020614306328592042,43
0.09090909090909091,0.9090909090909091,0.0018552875695732839,18
0.03125,0.6262626262626263,0.00041228612657184083,39
0.07142857142857142,0.9191919191919192,0.001443001443001443,15
0.0,0.5858585858585859,0.0,41
